txn_id,hour,amount,merchant,merchant_risk,country,is_foreign,account_number,is_suspicious
T00000,0,77.61,Shell,0.15,US,0,4097884647007284,0
T00001,1,1300.32,Netflix,0.1,NG,1,4677812434302673,1
T00002,22,35.7,Amazon,0.1,US,0,4978744918857099,0
T00003,22,19.12,Amazon,0.1,US,0,4378974013512174,0
T00004,12,175.53,Walmart,0.1,US,0,4517267520467920,0
T00005,12,1672.56,WireTransferCo,0.8,US,0,4696392992328110,1
T00006,22,159.99,SteamGames,0.3,US,0,4262099757832742,0
T00007,8,117.37,Walmart,0.1,NG,1,4416784324997865,0
T00008,21,64.99,SteamGames,0.3,US,0,4601386350788097,0
T00009,5,220.15,UnknownIntl,0.95,US,0,4720579227709346,0
T00010,21,3410.14,UnknownIntl,0.95,US,0,4355171483220814,1
T00011,2,171.64,CryptoX,0.9,UK,1,4808299429208302,1
T00012,20,44.71,SteamGames,0.3,US,0,4277674530361373,0
T00013,23,80.6,UnknownIntl,0.95,UK,1,4407572636966039,1
T00014,16,20.66,Uber,0.2,US,0,4891799106524289,0
T00015,19,1919.77,Shell,0.15,NG,1,4526979585658777,1
T00016,17,85.85,WireTransferCo,0.8,UK,1,4845415078880052,1
T00017,3,73.0,Apple,0.1,IN,1,4986123297556082,1
T00018,16,85.36,UnknownIntl,0.95,UK,1,4719393457153143,1
T00019,4,8.77,WireTransferCo,0.8,US,0,4597128970019781,0
T00020,15,217.01,Amazon,0.1,IN,1,4269596417933055,0
T00021,18,96.85,Amazon,0.1,US,0,4918760016436961,0
T00022,4,1.92,Walmart,0.1,US,0,4476413262675238,0
T00023,22,42.61,Uber,0.2,US,0,4420432844843150,0
T00024,3,2519.01,GiftCardHub,0.85,RU,1,4247942399394546,1
T00025,22,101.82,Amazon,0.1,US,0,4035368649464614,0
T00026,16,86.72,SteamGames,0.3,US,0,4993477198208118,0
T00027,7,168.97,Netflix,0.1,RU,1,4106198179165279,0
T00028,11,20.3,Walmart,0.1,NG,1,4727537327161424,0
T00029,12,111.09,Walmart,0.1,US,0,4279959322562087,0
T00030,17,20.43,Uber,0.2,US,0,4084876814131836,0
T00031,1,99.93,GiftCardHub,0.85,US,0,4955547560553264,1
T00032,13,38.56,Uber,0.2,US,0,4002428284199395,0
T00033,14,83.75,CryptoX,0.9,UK,1,4625741444833678,1
T00034,4,3170.58,Shell,0.15,RU,1,4842144564308555,1
T00035,1,119.08,SteamGames,0.3,US,0,4597996253993418,0
T00036,16,113.7,Starbucks,0.1,US,0,4454610413572758,0
T00037,18,98.56,Walmart,0.1,US,0,4740136334807779,0
T00038,8,106.99,Netflix,0.1,IN,1,4726771480912892,0
T00039,10,171.32,Apple,0.1,RU,1,4515980231081843,0
T00040,2,10.74,Netflix,0.1,US,0,4989968782347939,0
T00041,9,63.31,Uber,0.2,IN,1,4340606813155651,0
T00042,21,100.71,Netflix,0.1,US,0,4297762069473039,0
T00043,23,33.82,Walmart,0.1,US,0,4237149216972971,0
T00044,6,35.04,UnknownIntl,0.95,IN,1,4952631941733496,1
T00045,20,28.53,Amazon,0.1,US,0,4375547660623566,0
T00046,5,75.81,Starbucks,0.1,UK,1,4778019938714288,0
T00047,11,4.11,Starbucks,0.1,US,0,4047094863774978,0
T00048,1,113.17,Apple,0.1,IN,1,4984839798302428,0
T00049,7,55.56,CryptoX,0.9,US,0,4199345799347290,0
T00050,5,75.45,CryptoX,0.9,US,0,4827600959392967,0
T00051,5,26.28,Uber,0.2,UK,1,4043601958949520,0
T00052,6,107.07,GiftCardHub,0.85,US,0,4250990276358842,0
T00053,12,19.11,Amazon,0.1,US,0,4870688512936784,0
T00054,20,10.36,Apple,0.1,IN,1,4129862749705264,0
T00055,18,74.65,Apple,0.1,US,0,4671677516104956,0
T00056,23,94.58,CryptoX,0.9,IN,1,4649183875166505,1
T00057,1,17.42,Uber,0.2,UK,1,4773332649114988,0
T00058,11,52.9,UnknownIntl,0.95,US,0,4954782669062886,0
T00059,16,141.22,Walmart,0.1,UK,1,4784988606019126,0
T00060,6,45.05,Apple,0.1,US,0,4640755929604783,0
T00061,17,148.29,Apple,0.1,NG,1,4484009357248577,0
T00062,14,4.08,Netflix,0.1,IN,1,4896247833005255,0
T00063,21,2416.28,UnknownIntl,0.95,US,0,4697226234456439,1
T00064,7,60.04,SteamGames,0.3,US,0,4688231895173379,0
T00065,13,42.14,Walmart,0.1,RU,1,4784027890320513,0
T00066,12,3211.69,CryptoX,0.9,RU,1,4996946821103405,1
T00067,7,167.6,Walmart,0.1,NG,1,4523034751983891,0
T00068,3,23.87,Amazon,0.1,US,0,4357245052227621,0
T00069,17,109.15,GiftCardHub,0.85,NG,1,4534439365635632,1
T00070,7,105.88,GiftCardHub,0.85,UK,1,4309169953388441,1
T00071,22,39.15,GiftCardHub,0.85,US,0,4090720619162247,0
T00072,7,54.37,Starbucks,0.1,US,0,4610926159242370,0
T00073,1,103.17,GiftCardHub,0.85,NG,1,4866715401682561,1
T00074,18,75.23,Netflix,0.1,US,0,4940949825127089,0
T00075,15,84.46,CryptoX,0.9,US,0,4437811910945722,0
T00076,23,114.27,SteamGames,0.3,NG,1,4666413112918758,1
T00077,2,137.98,Netflix,0.1,US,0,4204609929993885,0
T00078,12,49.13,Amazon,0.1,UK,1,4846685278032728,0
T00079,2,138.43,CryptoX,0.9,UK,1,4394024388199003,1
T00080,20,94.59,Uber,0.2,US,0,4171569432222349,0
T00081,15,83.77,Uber,0.2,US,0,4523578924369467,0
T00082,11,120.51,UnknownIntl,0.95,UK,1,4184386464889024,1
T00083,18,1743.18,Apple,0.1,US,0,4422560177770658,0
T00084,2,14.65,CryptoX,0.9,US,0,4676005021456820,0
T00085,11,18.17,Walmart,0.1,US,0,4569658988504585,0
T00086,0,145.32,Shell,0.15,IN,1,4517620132882818,0
T00087,13,10.41,UnknownIntl,0.95,US,0,4304086478250137,0
T00088,14,9.38,Netflix,0.1,RU,1,4314044085930532,0
T00089,14,118.29,GiftCardHub,0.85,US,0,4032312483780305,0
T00090,5,24.0,GiftCardHub,0.85,IN,1,4789464794111306,1
T00091,16,84.39,Apple,0.1,US,0,4457597498347573,0
T00092,22,13.58,GiftCardHub,0.85,US,0,4249495913956837,0
T00093,9,94.16,CryptoX,0.9,US,0,4597763040503622,0
T00094,23,26.9,SteamGames,0.3,NG,1,4216830226863903,1
T00095,23,62.6,SteamGames,0.3,US,0,4215655398111994,0
T00096,8,53.85,Uber,0.2,RU,1,4937454353519678,0
T00097,7,82.34,Uber,0.2,UK,1,4601384361702158,0
T00098,1,155.19,Starbucks,0.1,UK,1,4115502368831984,0
T00099,15,67.75,Amazon,0.1,UK,1,4057848766323355,0
T00100,3,2809.64,Apple,0.1,RU,1,4170828259480321,1
T00101,2,25.41,Starbucks,0.1,UK,1,4671181438427691,0
T00102,16,15.87,Netflix,0.1,US,0,4343826858756807,0
T00103,19,169.6,Netflix,0.1,US,0,4233950144544043,0
T00104,8,61.29,Shell,0.15,US,0,4459948059220794,0
T00105,9,1558.7,GiftCardHub,0.85,RU,1,4791490672474930,1
T00106,21,84.89,GiftCardHub,0.85,US,0,4478662069864370,0
T00107,20,126.78,Walmart,0.1,US,0,4080398103714024,0
T00108,9,12.52,Amazon,0.1,US,0,4775381048923907,0
T00109,8,17.09,Apple,0.1,NG,1,4673326663456344,0
T00110,23,3926.7,Amazon,0.1,NG,1,4968858018079287,1
T00111,21,120.93,Netflix,0.1,US,0,4851484838927500,0
T00112,16,2.52,Starbucks,0.1,RU,1,4916759200743492,0
T00113,15,28.8,GiftCardHub,0.85,US,0,4117770881457844,0
T00114,13,62.85,Starbucks,0.1,IN,1,4041315653067184,0
T00115,10,33.59,GiftCardHub,0.85,US,0,4455063693013882,0
T00116,21,2440.08,WireTransferCo,0.8,US,0,4851681804087021,1
T00117,1,31.12,GiftCardHub,0.85,RU,1,4324295490008662,1
T00118,3,163.22,GiftCardHub,0.85,RU,1,4620190317236792,1
T00119,2,95.26,Amazon,0.1,NG,1,4132258995540662,1
T00120,15,125.45,Shell,0.15,US,0,4274416078644555,0
T00121,12,59.53,GiftCardHub,0.85,US,0,4990036116703037,0
T00122,8,96.72,Starbucks,0.1,US,0,4923857202802027,0
T00123,23,36.6,Amazon,0.1,UK,1,4974195175002566,0
T00124,17,26.32,Starbucks,0.1,RU,1,4362293087922130,0
T00125,18,85.3,Uber,0.2,US,0,4049140485099154,0
T00126,22,130.3,SteamGames,0.3,RU,1,4557689271771087,0
T00127,16,49.58,Amazon,0.1,US,0,4984248021515904,0
T00128,16,88.93,GiftCardHub,0.85,US,0,4173795722598067,0
T00129,8,74.37,Walmart,0.1,RU,1,4090429032477170,0
T00130,10,7.67,SteamGames,0.3,NG,1,4077037185389261,0
T00131,7,9.67,Uber,0.2,UK,1,4856099074052492,0
T00132,14,1740.71,Shell,0.15,US,0,4422033616027889,1
T00133,7,123.79,CryptoX,0.9,US,0,4202725860216422,0
T00134,2,34.48,Starbucks,0.1,US,0,4161136792684849,0
T00135,20,42.59,Uber,0.2,RU,1,4523830552194784,0
T00136,2,28.41,Apple,0.1,US,0,4777223399244473,0
T00137,9,99.78,Apple,0.1,RU,1,4120080771024389,0
T00138,18,48.22,Uber,0.2,NG,1,4741100171908987,0
T00139,0,118.93,CryptoX,0.9,UK,1,4838990106031293,1
T00140,7,36.26,GiftCardHub,0.85,UK,1,4850707083294909,1
T00141,20,2741.26,UnknownIntl,0.95,US,0,4347823800817950,1
T00142,18,58.96,GiftCardHub,0.85,US,0,4197750668814624,0
T00143,17,103.91,Uber,0.2,US,0,4935028435737150,0
T00144,15,129.13,Starbucks,0.1,UK,1,4158476026696105,0
T00145,17,69.79,Uber,0.2,NG,1,4297752962542685,0
T00146,14,12.36,WireTransferCo,0.8,US,0,4121987256608131,0
T00147,15,3748.15,Shell,0.15,US,0,4686893755676183,0
T00148,20,138.85,Uber,0.2,US,0,4051054876585264,0
T00149,15,37.58,Amazon,0.1,UK,1,4152744230692738,0
T00150,11,32.61,CryptoX,0.9,RU,1,4818078493792135,1
T00151,20,2219.55,Starbucks,0.1,NG,1,4314962628504119,1
T00152,6,57.93,Amazon,0.1,IN,1,4413582525775340,0
T00153,1,131.25,WireTransferCo,0.8,IN,1,4927957096379365,1
T00154,21,100.21,GiftCardHub,0.85,US,0,4274235094260514,0
T00155,2,163.29,Starbucks,0.1,US,0,4243140617122746,0
T00156,4,99.42,Uber,0.2,IN,1,4282211736326012,0
T00157,21,1.59,Starbucks,0.1,US,0,4889442021000204,0
T00158,0,89.02,Uber,0.2,IN,1,4504712242348392,0
T00159,14,97.5,SteamGames,0.3,US,0,4818801341495438,0
T00160,14,70.62,Shell,0.15,UK,1,4772477468820630,0
T00161,22,68.17,Walmart,0.1,RU,1,4362663090499420,0
T00162,2,138.92,Netflix,0.1,US,0,4597355207240747,0
T00163,16,139.81,Apple,0.1,RU,1,4128817673261280,0
T00164,13,38.77,Shell,0.15,US,0,4821470116596790,0
T00165,13,92.95,Walmart,0.1,IN,1,4171858622063532,0
T00166,2,101.3,Shell,0.15,RU,1,4626417243995922,0
T00167,21,93.75,Amazon,0.1,IN,1,4476186246553855,0
T00168,9,34.9,UnknownIntl,0.95,US,0,4542899571777219,0
T00169,11,47.05,Uber,0.2,US,0,4313638967189356,0
T00170,13,171.51,Netflix,0.1,US,0,4626831762386603,0
T00171,0,54.37,Amazon,0.1,UK,1,4395215760179129,0
T00172,4,24.47,Amazon,0.1,US,0,4103306980041934,0
T00173,12,55.42,UnknownIntl,0.95,US,0,4350870352678053,0
T00174,18,22.33,UnknownIntl,0.95,IN,1,4758817855716355,1
T00175,14,9.3,Walmart,0.1,UK,1,4466327972728519,0
T00176,16,128.03,Apple,0.1,US,0,4593274512602828,0
T00177,1,121.71,Shell,0.15,UK,1,4339367718884087,1
T00178,8,72.56,Uber,0.2,US,0,4428075650273404,0
T00179,16,109.41,WireTransferCo,0.8,US,0,4081150633227055,0
T00180,13,214.31,CryptoX,0.9,US,0,4455342010552922,0
T00181,9,95.89,UnknownIntl,0.95,NG,1,4193511146390012,1
T00182,22,102.57,Netflix,0.1,RU,1,4450866721080528,0
T00183,12,67.55,WireTransferCo,0.8,US,0,4374998841225806,0
T00184,16,30.59,Starbucks,0.1,US,0,4818957282028553,0
T00185,7,25.19,Shell,0.15,US,0,4678240505720474,0
T00186,5,160.45,Starbucks,0.1,US,0,4505421355287886,0
T00187,20,54.58,Shell,0.15,IN,1,4497883212887639,0
T00188,8,2149.18,Shell,0.15,UK,1,4064051008807158,1
T00189,2,49.64,SteamGames,0.3,UK,1,4570906784406892,1
T00190,18,20.17,CryptoX,0.9,RU,1,4643630097242249,1
T00191,10,44.42,Shell,0.15,US,0,4069664187960050,0
T00192,10,105.03,GiftCardHub,0.85,US,0,4492872011264557,0
T00193,11,77.22,GiftCardHub,0.85,US,0,4871970311052392,0
T00194,20,2941.0,SteamGames,0.3,US,0,4958777247833039,1
T00195,10,2884.94,Shell,0.15,US,0,4786419919565747,0
T00196,4,37.01,Shell,0.15,NG,1,4143884897018049,0
T00197,20,0.44,Shell,0.15,US,0,4408245309718967,0
T00198,6,24.26,Apple,0.1,US,0,4086879263947964,0
T00199,16,165.76,Apple,0.1,US,0,4592825246350995,0
T00200,19,119.66,Amazon,0.1,IN,1,4703394400873089,0
T00201,1,122.79,Starbucks,0.1,RU,1,4687467258118570,1
T00202,7,29.54,Apple,0.1,RU,1,4218445623459271,0
T00203,14,69.05,SteamGames,0.3,RU,1,4593867287985717,0
T00204,6,90.37,CryptoX,0.9,US,0,4417951316844750,0
T00205,22,48.93,WireTransferCo,0.8,US,0,4094434670273488,0
T00206,14,108.06,Starbucks,0.1,UK,1,4919523386948506,0
T00207,0,61.01,GiftCardHub,0.85,IN,1,4265460649816241,1
T00208,11,3089.84,CryptoX,0.9,US,0,4891013880452783,1
T00209,1,131.89,Starbucks,0.1,US,0,4935747514385931,0
T00210,14,1272.44,Starbucks,0.1,RU,1,4617896112220921,1
T00211,3,6.47,UnknownIntl,0.95,NG,1,4053760628978693,1
T00212,20,98.06,Uber,0.2,NG,1,4603544252310474,0
T00213,22,16.19,Amazon,0.1,US,0,4397235575859506,0
T00214,5,66.99,Uber,0.2,NG,1,4612580559934695,0
T00215,12,58.2,WireTransferCo,0.8,US,0,4285582568767190,0
T00216,11,93.22,UnknownIntl,0.95,US,0,4655166214839597,0
T00217,4,2437.48,UnknownIntl,0.95,IN,1,4723726958206458,1
T00218,22,42.28,Starbucks,0.1,RU,1,4515301344025470,0
T00219,6,1283.26,Amazon,0.1,UK,1,4355327119350030,1
T00220,17,63.84,Apple,0.1,NG,1,4879149148609619,0
T00221,8,82.73,Amazon,0.1,IN,1,4450386975875936,0
T00222,12,59.52,UnknownIntl,0.95,RU,1,4584655847506263,1
T00223,23,112.7,Apple,0.1,US,0,4925874668880091,0
T00224,10,122.75,Starbucks,0.1,UK,1,4479763814203813,0
T00225,11,112.14,Starbucks,0.1,RU,1,4396949087786860,0
T00226,8,2861.15,Netflix,0.1,NG,1,4409050134963396,1
T00227,0,1.64,WireTransferCo,0.8,US,0,4142120617285079,0
T00228,20,40.65,Walmart,0.1,US,0,4506568539308745,0
T00229,14,123.89,SteamGames,0.3,IN,1,4413148063117017,0
T00230,20,1203.82,CryptoX,0.9,IN,1,4435709476009024,1
T00231,8,230.07,WireTransferCo,0.8,US,0,4321532469705651,0
T00232,6,164.28,UnknownIntl,0.95,RU,1,4912556373406767,1
T00233,21,161.81,Shell,0.15,IN,1,4326918059310601,0
T00234,22,56.59,Apple,0.1,US,0,4136641052665354,0
T00235,7,10.14,Uber,0.2,US,0,4644329078282587,0
T00236,17,2058.99,SteamGames,0.3,RU,1,4809376781235665,1
T00237,13,170.71,GiftCardHub,0.85,NG,1,4356941728440522,1
T00238,14,9.24,Shell,0.15,US,0,4720345692780774,0
T00239,4,95.43,Netflix,0.1,US,0,4936062590355800,0
T00240,9,107.06,Walmart,0.1,US,0,4584226967590532,0
T00241,8,125.53,Apple,0.1,US,0,4140927645674565,0
T00242,19,10.66,Shell,0.15,UK,1,4192754499536517,0
T00243,18,3588.43,Shell,0.15,IN,1,4051183474115940,1
T00244,20,99.06,Shell,0.15,UK,1,4706126506446001,0
T00245,20,155.82,WireTransferCo,0.8,UK,1,4908994629602032,1
T00246,9,7.78,Shell,0.15,NG,1,4229709730655864,0
T00247,10,106.37,SteamGames,0.3,US,0,4969150728968562,0
T00248,4,84.83,SteamGames,0.3,NG,1,4279131855567213,1
T00249,1,7.98,Starbucks,0.1,US,0,4470778303307847,0
T00250,10,167.7,Uber,0.2,US,0,4579532804839914,0
T00251,9,41.23,GiftCardHub,0.85,RU,1,4569080560715035,1
T00252,6,63.59,GiftCardHub,0.85,US,0,4736633460948636,0
T00253,9,70.52,Shell,0.15,RU,1,4150798152583245,0
T00254,12,39.59,Apple,0.1,IN,1,4324938126853269,0
T00255,16,125.3,Walmart,0.1,NG,1,4766061633651359,0
T00256,4,139.31,Netflix,0.1,US,0,4411637993369342,0
T00257,19,70.64,Starbucks,0.1,US,0,4043813155962932,0
T00258,15,46.18,Starbucks,0.1,IN,1,4690256784273010,0
T00259,12,75.87,SteamGames,0.3,US,0,4668474290118436,0
T00260,22,1676.49,SteamGames,0.3,RU,1,4657191914856982,1
T00261,19,53.77,Apple,0.1,US,0,4651305059257839,0
T00262,23,145.12,Netflix,0.1,US,0,4947069385479751,0
T00263,21,101.77,CryptoX,0.9,US,0,4123732426577573,0
T00264,14,66.6,Uber,0.2,US,0,4688465111192999,0
T00265,22,111.67,GiftCardHub,0.85,US,0,4538600333095448,0
T00266,10,144.12,WireTransferCo,0.8,NG,1,4869184024459538,1
T00267,19,62.1,UnknownIntl,0.95,UK,1,4628350618760844,1
T00268,9,92.43,Apple,0.1,US,0,4392716690417057,0
T00269,9,12.91,WireTransferCo,0.8,UK,1,4444206907378969,1
T00270,9,3958.43,SteamGames,0.3,US,0,4539395267597154,0
T00271,17,119.08,Uber,0.2,US,0,4154555564751899,0
T00272,7,203.67,Walmart,0.1,US,0,4465334367064777,0
T00273,3,120.84,SteamGames,0.3,RU,1,4458136249881488,0
T00274,15,21.05,Shell,0.15,RU,1,4100724579707215,0
T00275,17,1.72,Shell,0.15,US,0,4197108596835359,0
T00276,1,140.34,CryptoX,0.9,US,0,4325914685665284,0
T00277,9,78.93,Amazon,0.1,US,0,4377226904566984,0
T00278,20,12.55,Apple,0.1,RU,1,4307186661078430,0
T00279,10,61.18,Uber,0.2,US,0,4809069864295520,0
T00280,23,53.89,Starbucks,0.1,US,0,4963935019172755,0
T00281,13,122.84,Shell,0.15,NG,1,4107394236701205,0
T00282,15,59.79,Starbucks,0.1,US,0,4300607998407209,0
T00283,18,120.55,SteamGames,0.3,UK,1,4404820655065872,0
T00284,1,46.84,UnknownIntl,0.95,US,0,4792137516381205,0
